review_id,platform,product_name,category,subcategory,star_rating,review_text,sentiment,,
B014,Shopee,NUUHA Beauty 7X Peptide Ultimate Glass Skin Moisturizer,Beauty,Skin Care,5,3rd day using this and I feel like the inflammation on my face reduced,Positive,,
B015,Shopee,NUUHA Beauty 7X Peptide Ultimate Glass Skin Moisturizer,Beauty,Skin Care,5,doesn’t feel itchy or gives any irritation,Positive,,
B016,Shopee,NUUHA Beauty 7X Peptide Ultimate Glass Skin Moisturizer,Beauty,Skin Care,1,My dullness and acne skin didn't work to this,Negative,,
B017,Lazada,SKINTIFIC Moisturizer Cream 5X Ceramide Skin Barrier Repair ,Beauty,Skin Care,1,My acne appear all around face using this product,Negative,,
B018,Lazada,SKINTIFIC Moisturizer Cream 5X Ceramide Skin Barrier Repair ,Beauty,Skin Care,3,My face breakout pimples...I think it is not suitable for me,Negative,,
B019,Lazada,SKINTIFIC Moisturizer Cream 5X Ceramide Skin Barrier Repair ,Beauty,Skin Care,3,"Been used more than a week, still not getting my skin goal but it doesn't ruin it at all",Neutral,,
B020,Lazada,SKINTIFIC Moisturizer Cream 5X Ceramide Skin Barrier Repair ,Beauty,Skin Care,4,Like the texture as not sticky and oily. Fast absorption,Positive,,
B021,Lazada,SKINTIFIC Moisturizer Cream 5X Ceramide Skin Barrier Repair ,Beauty,Skin Care,5,"Leaves skin soft and smooth, Hydrates all day, keeps skin hydrated all night",Positive,,
B022,Shopee,Torriden Dive In Low Molecular Hyaluronic Acid Toner,Beauty,Skin Care,5,"After using this for 1 week, my skin now has a very nice glow and looked more radiant",Positive,,
B023,Shopee,Medicube Deep Vita C Radiance Toner Pad,Beauty,Skin Care,1,"My skin is very sensitive to it and it irritate mostly my mouth and chin area. It became red, itchy, and flaky",Negative,,
B024,Shopee,Medicube Deep Vita C Radiance Toner Pad,Beauty,Skin Care,4,"I've used six cans already, but unfortunately, I haven't notices any significant improvement in my skin",Neutral,,
B025,Shopee,Medicube Deep Vita C Radiance Toner Pad,Beauty,Skin Care,3,"x sesuai muka saya, baru pakai sekali muka terus bengkak",Negative,,
B026,Lazada,L'Orèal Paris Revitalift 1.5% Hyaluronic Acid Face Serum ,Beauty,Skin Care,5,"Plump and smooths skin, leaves skin plump and smooth",Positive,,
B027,Lazada,Dr.Leo Salicylic Acid Purifying Facial Cleanser,Beauty,Skin Care,5,"Improves skin texture, cleanses deeply, very effective cleanser ",Positive,,
B028,Shopee,Beauty of Joseon Relief Sun Aqua-Fresh: Rice + B5 SPF50+ PA++++,Beauty,Skin Care,2,"Not suitable for my skin...sticky and oily, caused closed comedones for me",Negative,,
B029,Shopee,Beauty of Joseon Relief Sun Aqua-Fresh: Rice + B5 SPF50+ PA++++,Beauty,Skin Care,5,"the texture feels watery and smooth, absorbs super fast, and doesn't leave a white cast or sticky feeling",Positive,,
B030,Shopee,Beauty of Joseon Relief Sun Aqua-Fresh: Rice + B5 SPF50+ PA++++,Beauty,Skin Care,5,Watery texture makes it easy to apply all over the face. Not greasy and no whitecast,Positive,,
B031,Lazada,L'occitane Almond Shower Oil,Beauty,Body Care,2,When I use this my skin is very dry and I felt a bit itchy.,Positive,,
B032,Lazada,L'occitane Almond Shower Oil,Beauty,Body Care,3,"Leaves skin feeling refreshed, gentle on sensitive skin, long-lasting fragrance",Positive,,
B033,Shopee,Dove Body Shower Sensitive Skin,Beauty,Body Care,5,Will not cause dryness or rash after use,Positive,,
B034,Shopee,Grace and Glow Whitening Body Serum ,Beauty,Body Care,1,It leaves the white cast and not absorb affective on my skin,Negative,,
B035,Shopee,Luqfa Beauty PDRN Whitening Lotion,Beauty,Body Care,2,"lambat effect, burn pon tak hilang",Neutral,,
B036,Lazada,TWG Tea Fruity Body Scrub Natural Bath Salt,Beauty,Body Care,5,Exfoliates dead skin cells effectively,Positive,,
B037,Shopee,Dove Body Scrub Pomegranate,Beauty,Body Care,1,The worst body scrub ever used. Feels sticky even after wash with soaps many times,Negative,,
B038,Shopee,Dove Body Scrub Pomegranate,Beauty,Body Care,4,Skin didn't really feel smooth after using but definitely feel clean,Neutral,,
B039,Lazada,Nivea Body Creme,Beauty,Body Care,5,Leaves skin feeling soft and smooth,Positive,,
B040,Shopee,Nivea Rich Nourishing Body Milk,Beauty,Body Care,5,It really makes my hands feel so smooth and good for my skin.,Positive,,
B041,Shopee,Nivea Rich Nourishing Body Milk,Beauty,Body Care,1,No effect on my normal dry skin,Neutral,,
B042,Shopee,Veet Hair Removal Cream,Beauty,Body Care,3,A bit sensitive and itchy,Negative,,
B043,Shopee,Veet Hair Removal Cream,Beauty,Body Care,2,It itches so much I woke up in the middle of the night to scratch it like a crazy person,Negative,,
B044,Shopee,Veet Hair Removal Cream,Beauty,Body Care,5,Easy to use and effective cream for hair remover,Positive,,
B045,Lazada,Rexona Roll On Men/Women Deodorant,Beauty,Body Care,4,"Keeps you fresh all day, long lasting freshness",Positive,,
B046,Shopee,Minimalist Underarm Roll On,Beauty,Body Care,1,this burnt my underarm skin after a few uses,Negative,,
B047,Shopee,Minimalist Underarm Roll On,Beauty,Body Care,5,It helps control body odor throughout the day and feels gentle on the skin,Positive,,
B048,Shopee,Minimalist Underarm Roll On,Beauty,Body Care,3,Great at eliminating body odour without blocking sweat glands,Positive,,
B049,Shopee,Vaseline Bright & Repair Deodorant Serum Ultra Bright,Beauty,Body Care,4,So far takde perubahan on my armpit,Neutral,,
B050,Shopee,Vaseline Bright & Repair Deodorant Serum Ultra Bright,Beauty,Body Care,5,The smell is so nice and it help me a lot as someone who struggling with underarm odor,Positive,,
B051,Shopee,Palmers Cocoa Butter Formula Skin Therapy Oil Rosehip,Beauty,Body Care,4,"it absorbs fast and feels very smooth on my skin, it doesn't fell hot when i use them",Positive,,
B052,Shopee,Palmers Cocoa Butter Formula Skin Therapy Oil Rosehip,Beauty,Body Care,5,"It works, but need to be patient to see the improvement",Neutral,,
B053,Shopee,Simply Simone Shea and Cocoa Body Butter,Beauty,Body Care,1,I don't like it... I felt it's too hard and sticky,Negative,,
B054,Shopee,Simply Simone Shea and Cocoa Body Butter,Beauty,Body Care,5,"1st butter ever to soothe my eczema, oso can be used on my dry cracked heels",Positive,,
B055,Lazada,Mareah Shower Cream Goat's Milk,Beauty,Body Care,5,"Leaves you feeling refreshed and invigorated, hydrates and nourishes the skin",Positive,,
B056,Lazada,Mareah Shower Cream Goat's Milk,Beauty,Body Care,5,"Enriched with moisturising benefits, pampering shower cream for a spa-like experience",Positive,,
B057,Shopee,Good Virtues & Co. Radiant & Renewing Body Salt Scrub,Beauty,Body Care,3,"Didn't like the smell, like some poor pungent smell",Negative,,
B058,Shopee,Good Virtues & Co. Radiant & Renewing Body Salt Scrub,Beauty,Body Care,4,Skin feels smooth after scrubbing,Positive,,
B059,Shopee,Quarxery Painless Hair Removal Cream,Beauty,Body Care,5,the cream removes hair quickly and has a smooth effect,Positive,,
B060,Shopee,Quarxery Painless Hair Removal Cream,Beauty,Body Care,2,tried it and skin became very sensitive started turning red with a burning feeling to it,Negative,,
B061,Shopee,Dr. Ville Ginger Shampoo Anti-Hair Loss ,Beauty,Hair Care,1,"Doesn't work as claimed. In fact, my hair loss got worse as i noticed more hair loss after using this product",Negative,,
B062,Shopee,Dr. Ville Ginger Shampoo Anti-Hair Loss ,Beauty,Hair Care,2,felt this made my hair fall worse for some reason and makes my hair oliy and flaky scalp more easily,Negative,,
B063,Lazada,Dr. Ville Anti Hair Loss Scalp Serum,Beauty,Hair Care,2,please don't buying using only water fell hair improve anything I buy 5 piece try wasted,Negative,,
B064,Lazada,Dr. Ville Anti Hair Loss Scalp Serum,Beauty,Hair Care,3,I finished few bottles but still don't see any differences,Neutral,,
B065,Lazada,Dr. Ville Anti Hair Loss Scalp Serum,Beauty,Hair Care,5,"Convenient and easy to use, promotes hair growth effectively",Positive,,
B066,Shopee,Tresemme Keratin Smooth Conditioner,Beauty,Hair Care,5,"It softens the hair effectively, making it smoother, easier to manage, and noticeably healthier in appearance",Positive,,
B067,Shopee,Minimalist Hair Growth Serum,Beauty,Hair Care,1,"I have been using this oil for the past 6 months, and I haven't noticed any difference in my hair loss",Neutral,,
B068,Shopee,Minimalist Hair Growth Serum,Beauty,Hair Care,5,"Result is obvious, can see within a week. Baby hair starts to grow on applied area",Positive,,
B069,Shopee,Minimalist Hair Growth Serum,Beauty,Hair Care,3,Felt itchy on scalp after using...not sure on effectiveness yet,Negative,,
B070,Lazada,Biocho Olive Hair Oil,Beauty,Hair Care,3,too oily on the hair,Negative,,
B071,Lazada,Biocho Olive Hair Oil,Beauty,Hair Care,4,"Improves hair texture, protects hair from damage",Positive,,
B072,Shopee,Fino Premium Touch Hair Mask,Beauty,Hair Care,4,Hair more neat and tidy. Easy to comb while hair is still wet,Positive,,
B073,Shopee,Fino Premium Touch Hair Mask,Beauty,Hair Care,5,"It really helps with dryness and frizz, especially if your hair is damaged or color-treated",Positive,,
B074,Lazada,Perfect Hair Color Cream Jinghongda Shuishirun,Beauty,Hair Care,1,I rinsed a lot of water but the color is still in my hair and can't be removed,Negative,,
B075,Lazada,Perfect Hair Color Cream Jinghongda Shuishirun,Beauty,Hair Care,5,Vibrant and long-lasting colors,Positive,,
B076,Shopee,SomeByMi Cica Peptide Anti Hair Loss Scalp Tonic,Beauty,Hair Care,5,It smell good and I have many baby hair after using this tonic so I think it is work,Positive,,
B077,Shopee,SomeByMi Cica Peptide Anti Hair Loss Scalp Tonic,Beauty,Hair Care,2,after using for almost 1 month my hair fall problem become worst,Negative,,
B078,Shopee,SomeByMi Cica Peptide Anti Hair Loss Scalp Tonic,Beauty,Hair Care,1,"Experience some irritation...not sure if it's normal, but my scalp has many patchy red and itchy",Negative,,
B079,Shopee,SomeByMi Cica Peptide Anti Hair Loss Scalp Tonic,Beauty,Hair Care,1,After using the tonic my hair is really really really itchy. I'm going to stop using,Negative,,
B080,Shopee,Garnier Color Naturals Cream Hair Color,Beauty,Hair Care,3,"Look like this, but unfortunately, the colour is very subtle, hardly seen on my hair, and after few days my hair becomes stiff, less flowy",Negative,,
B081,Shopee,Garnier Color Naturals Cream Hair Color,Beauty,Hair Care,1,My scalp feel hot and pedas. The color very dast fade out,Negative,,
B082,Lazada,Sevich Unisex Hair Powder ,Beauty,Hair Care,5,"this powder is a miracle worker for my limp, fine hair. It adds volume & texture",Positive,,
B083,Lazada,Scheseukopf Best+ Mattifying Powder,Beauty,Hair Care,5,"Provides a lightweight feel, perfect for adding volume to fine hair",Positive,,
B084,Shopee,Rene Hair Styling Mousse Extra Hold Conditioning with Vitamin E & Pro-Vitamin B5,Beauty,Hair Care,5,It holds my curl very well and make my hair slightly dluffy or it gives my hair a little more volume,Positive,,
B085,Shopee,Rene Hair Styling Mousse Extra Hold Conditioning with Vitamin E & Pro-Vitamin B6,Beauty,Hair Care,1,It's so watery and doesn't give that mousse effect ,Negative,,
B086,Lazada,Dr. Ville Anti Hair Loss Shampoo ,Beauty,Hair Care,1,"Very itchy after shampooing, not worth this pay",Negative,,
B087,Lazada,Dr. Ville Anti Hair Loss Shampoo ,Beauty,Hair Care,5,"Improves hair thickness, strengthens hair roots",Positive,,
B088,Shopee,Palmolive Naturals Intensive Moisture (Dry/Coarse Hair) Shampoo & Conditioner ,Beauty,Hair Care,3,Nothing special for my hair so this ones just same as any other conditioners,Neutral,,
B089,Shopee,Palmolive Naturals Intensive Moisture (Dry/Coarse Hair) Shampoo & Conditioner ,Beauty,Hair Care,5,"The shampoo also very effective for my dry hair, also it worn off after a day",Positive,,
B090,Shopee,Palmolive Naturals Intensive Moisture (Dry/Coarse Hair) Shampoo & Conditioner ,Beauty,Hair Care,5,The shampoo has a lovelyfragrance and leaves the hair soft and shiny,Positive,,
B091,Shopee,Sea Makeup Stayput Prime & Set Setting Spray,Beauty,Make Up,5,The setting spray keeps my makeup look smooth and long-lasting,Positive,,
B092,Shopee,Sea Makeup Stayput Prime & Set Setting Spray,Beauty,Make Up,4,my makeup stay fresh and natural ,Positive,,
B093,Shopee,Panna Lab Lipbies Lip Matte,Beauty,Make Up,3,"when wearing this after 2-3 hours, it tend to make my lips crack and emphasize on my lip wrinkles",Negative,,
B094,Shopee,Panna Lab Lipbies Lip Matte,Beauty,Make Up,4,love love the color it's so pigmented,Positive,,
B095,Lazada,Glad2Glow Perfect Cover Cushion Foundation,Beauty,Make Up,5,"Semi-matte flawless finish, full coverage with skincare ingredients, moisturizing formula for fry areas",Positive,,
B096,Lazada,Glad2Glow Perfect Cover Cushion Foundation,Beauty,Make Up,5,the coverage is great - it evens out my skin tone nicely without feeling heavy,Positive,,
B097,Lazada,Suake Waterproof Make Up Eyeliner,Beauty,Make Up,2,looks like marker pen,Negative,,
B098,Lazada,Suake Waterproof Make Up Eyeliner,Beauty,Make Up,5,its so small and thin so its perfect for travelling,Positive,,
B099,Shopee,Gogo Tales Luolita Eyeshadow Pallete,Beauty,Make Up,2,Color is not that pigment,Neutral,,
B100,Shopee,Gogo Tales Luolita Eyeshadow Pallete,Beauty,Make Up,5,the colours are pretty but i wouldn't say its very pigmented,Neutral,,
B101,Shopee,Alha Alfa Brand New Eyeshadow ,Beauty,Make Up,5,Looveeee the colors and so pigmented,Positive,,
B102,Shopee,Alha Alfa Brand New Eyeshadow ,Beauty,Make Up,5,"Very satisfied with the color, suitable warm tone girlie like me if use correctly",Positive,,
B103,Lazada,Lameila Sweet Blusher with Mirror and Brush,Beauty,Make Up,4,this colour is much lighter than the pictures btu nice to use,Neutral,,
B104,Lazada,Lameila Sweet Blusher with Mirror and Brush,Beauty,Make Up,5,"Smooth and blendable, perfect for traveling",Positive,,
B105,Lazada,Lameila Sweet Blusher with Mirror and Brush,Beauty,Make Up,5,the colour is very nice and it look so natural on my cheek,Positive,,
B106,Lazada,PinkFlash Oh My Honey Blush,Beauty,Make Up,3,the colour not very pigmented,Neutral,,
B107,Shopee,Judydoll Highlight & Contour Pallette,Beauty,Make Up,5,"the powder is smooth and the color is good for my skin, the emulsion catches the glitter",Positive,,
B108,Shopee,Judydoll Highlight & Contour Pallette,Beauty,Make Up,5,"It's so pretty, the powder is smooth and the color is very clear",Positive,,
B109,Shopee,Judydoll Highlight & Contour Pallette,Beauty,Make Up,2,"it's expensive but the color effect is extremely boring, if you have white skin, it won't change color",Negative,,
B110,Lazada,PinkFlash Oh My Honey Blush,Beauty,Make Up,5,"Gives a natural and healthy-looking flush, the blush lasts all day without fading, the packaging is cute and compact",Positive,,
B111,Shopee,YOU Cloud Touch Skin Tint Liquid Foundation,Beauty,Make Up,3,the shade is a little light for my skin but it's good,Neutral,,
B112,Shopee,YOU Cloud Touch Skin Tint Liquid Foundation,Beauty,Make Up,4,"Good product with buildable coverage, chose a bit lighter shade in case of oxidation. Left a natural looking",Positive,,
B113,Shopee,YOU Cloud Touch Skin Tint Liquid Foundation,Beauty,Make Up,5,"I really like the texture because it is very lightweight and easy to blend, you just use your hand to blend it well",Positive,,
B114,Shopee,TimePhoria Timeless Lumina Matte Perfection Cushion Foundation,Beauty,Make Up,1,"But the finish looks super heavy and cakey, it emphasizes texture instead of smoothing it",Negative,,
B115,Shopee,TimePhoria Timeless Lumina Matte Perfection Cushion Foundation,Beauty,Make Up,1,"It doesn't blend well and looks uneven on the skin, not recommended",Negative,,
B116,Shopee,TimePhoria Timeless Lumina Matte Perfection Cushion Foundation,Beauty,Make Up,4,I love the matte finishing but you have to blend it well to make it smooth finishing,Neutral,,
B117,Shopee,TimePhoria Timeless Lumina Matte Perfection Cushion Foundation,Beauty,Make Up,4,Bagi saya biasa je tak macam orang hype,Neutral,,
B118,Shopee,TimePhoria Timeless Lumina Matte Perfection Cushion Foundation,Beauty,Make Up,5,the shade matched perfectly with my skintone. you only need a little and it's easy to build up the coverage,Positive,,
B119,Shopee,Sace Lady Flawless Master Compact Powder SPF 30+ PA+++,Beauty,Make Up,5,"The powder has a smooth, fine texture and blends well on the skin",Positive,,
B120,Shopee,Sace Lady Flawless Master Compact Powder SPF 30+ PA+++,Beauty,Make Up,4,Macam tak pakai apa-apa,Neutral,,
B121,Lazada,Pentative Vitamin C Orange  Chewable 30 Tablets,Beauty,Nutricosmetics,5,"Vitamin C rich formulation, good for daily routine, boost immunity effectively.",Positive,,
B122,Lazada,Pentative Vitamin C Orange  Chewable 30 Tablets,Beauty,Nutricosmetics,5,"Increases collagen production, fades dark spots visibly",Positive,,
B123,Shopee,Kinohimitsu Collagen Diamond 5300mg ,Beauty,Nutricosmetics,1,After consume still face having breakout,Negative,,
B124,Shopee,Kinohimitsu Collagen Diamond 5300mg ,Beauty,Nutricosmetics,3,Sori tiada perubahan apa2,Neutral,,
B125,Shopee,Kinohimitsu Collagen Diamond 5300mg ,Beauty,Nutricosmetics,5,"A very well recommended product to all the ladies I can see the difference on my face texture after consuming the collagen, u should try too!",Positive,,
B126,Shopee,Nutrione BB Lab Halal Good Night Collagen,Beauty,Nutricosmetics,5,Love this product & the probiotics in it really helps with my guts and digestion,Positive,,
B127,Shopee,Nutrione BB Lab Halal Good Night Collagen,Beauty,Nutricosmetics,3,"Buy it for my mum, her heart feel painful after consuming it. After stop eating it, everything is okay now",Negative,,
B128,Shopee,Unichi Nicotinamide Skin Nourishing Teddi Lab Gummy,Beauty,Nutricosmetics,3,almost empty but not yet see any diff will continue to take for awhile to see if it improves,Neutral,,
B129,Shopee,Unichi Nicotinamide Skin Nourishing Teddi Lab Gummy,Beauty,Nutricosmetics,5,I've finished a few bottles and noticed the scar on my face has lightened,Positive,,
B130,Shopee,Unichi Nicotinamide Skin Nourishing Teddi Lab Gummy,Beauty,Nutricosmetics,5,"After taking it consistently, my skin feels smoother and more radiant",Positive,,
B131,Shopee,Totaria Glutathione Collagen Gummies ,Beauty,Nutricosmetics,5,"After almost a month taking it, i can see gradual improvement on her skin texture and complexion. The scars are gradually less darker",Positive,,
B132,Shopee,Totaria Glutathione Collagen Gummies ,Beauty,Nutricosmetics,3,"idk about this, but it doesn't seem to effectively on me",Positive,,
B133,Shopee,Totaria Glutathione Collagen Gummies ,Beauty,Nutricosmetics,5,Bole la kulit licin dan kulit tak burn,Positive,,
B134,Shopee,Life-Space Acne Relief + Skin Rebalance Probiotic,Beauty,Nutricosmetics,1,"After taking your product, I experienced a severe acne breakout and skin inflammation, which i did not have before ",Negative,,
B135,Shopee,Life-Space Acne Relief + Skin Rebalance Probiotic,Beauty,Nutricosmetics,2,I had eaten one month and not noticing any changes for my acne,Neutral,,
B136,Shopee,Life-Space Acne Relief + Skin Rebalance Probiotic,Beauty,Nutricosmetics,5,2nd time repurchase because it worked for me! My recurring acne reduced after consistent use,Positive,,
B137,Shopee,Life-Space Acne Relief + Skin Rebalance Probiotic,Beauty,Nutricosmetics,5,It effectively reduce the appearance of my acne. My skin is getting improved,Positive,,
B138,Shopee,Lakewood Organic Pure Cranberry Juice,Beauty,Nutricosmetics,1,"My tekak pedih, rasa luka, irritated",Negative,,
B139,Shopee,Lakewood Organic Pure Cranberry Juice,Beauty,Nutricosmetics,3,Taking for two weeks. always diarrhoea everytime after consumed around 3 minutes,Negative,,
B140,Shopee,Lakewood Organic Pure Cranberry Juice,Beauty,Nutricosmetics,5,"Repeatedly ordered this juice as it helps with UTI, makes my skin smooth and glowing",Positive,,
B141,Shopee,Lakewood Organic Pure Cranberry Juice,Beauty,Nutricosmetics,5,"terbaik, kulit glowing, dalaman pun makin pulih",Positive,,
B142,Shopee,GKB Lactobacillus Rhamnosus Plus Powder,Beauty,Nutricosmetics,5,now my skin getting more better and semakin glowing,Positive,,
B143,Shopee,GKB Lactobacillus Rhamnosus Plus Powder,Beauty,Nutricosmetics,5,Bagus probiotic ni. kulit eczema makin ok. kulit muka semakin cerah dan lembap,Positive,,
B144,Shopee,Dr Cure V-CSKNZ Berries Chewable Tablet Mixed With Ascorbic Acid & Hithion,Beauty,Nutricosmetics,2,tiada kesan untuk saya. beli 2 btl dah habis sebtl tiada kesan yang menarik untuk saya,Neutral,,
B145,Shopee,Dr Cure V-CSKNZ Berries Chewable Tablet Mixed With Ascorbic Acid & Hithion,Beauty,Nutricosmetics,5,"Helps protecting skin from environmental damage with its antioxidant properties, boosting collagen to improve firmness and reduce wrinkles, and brightening the complexion by reducing darkspots and hyperpigmentation",Positive,,
B146,Shopee,Kitsui Whities Snow ,Beauty,Nutricosmetics,5,"Parut acne yang gelap kat muka nampak makin pudar selepas 10 hari consume, sunburn pon dah kurang sikit",Positive,,
B147,Shopee,Kitsui Whities Snow ,Beauty,Nutricosmetics,1,"caused tiny itchy bumps on my chin, cheeks and forehead the next day",Negative,,
B148,Shopee,Toujours Advanced White Tomato,Beauty,Nutricosmetics,5,"Love this product! My skin feels smoother, brighter, and more hydrated after just a few weeks",Positive,,
B149,Shopee,Toujours Advanced White Tomato,Beauty,Nutricosmetics,1,no changes at all,Neutral,,
B150,Shopee,Pentative Vitamin C Orange  Chewable 30 Tablets,Beauty,Nutricosmetics,1,Sepanjang saya consume vitamin ni jerawat naik mendadak di muka saya,Negative,,
